Typical Measured Spectrum of Semrock NF03-808E Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
502.6	0.95194
502.8	0.95418
503.0	0.95774
503.2	0.96089
503.4	0.96305
503.6	0.96232
503.8	0.96103
504.0	0.95796
504.2	0.95512
504.4	0.9528
504.6	0.95189
504.8	0.95256
505.0	0.95509
505.2	0.95897
505.4	0.96145
505.6	0.96438
505.8	0.965
506.0	0.96318
506.2	0.96056
506.4	0.95623
506.6	0.95257
506.8	0.95021
507.0	0.94962
507.2	0.95131
507.4	0.9542
507.6	0.95805
507.8	0.96216
508.0	0.96456
508.2	0.96515
508.4	0.96385
508.6	0.96117
508.8	0.95757
509.0	0.9535
509.2	0.95137
509.4	0.94971
509.6	0.95081
509.8	0.95255
510.0	0.95473
510.2	0.95742
510.4	0.95847
510.6	0.9586
510.8	0.95746
511.0	0.95511
511.2	0.95299
511.4	0.95131
511.6	0.95085
511.8	0.95151
512.0	0.95391
512.2	0.95682
512.4	0.95936
512.6	0.9619
512.8	0.96249
513.0	0.96206
513.2	0.95995
513.4	0.95637
513.6	0.95319
513.8	0.94998
514.0	0.94921
514.2	0.9496
514.4	0.95204
514.6	0.95535
514.8	0.95863
515.0	0.96143
515.2	0.96313
515.4	0.96296
515.6	0.96097
515.8	0.95824
516.0	0.95526
516.2	0.95266
516.4	0.95198
516.6	0.95219
516.8	0.95474
517.0	0.95731
517.2	0.96025
517.4	0.96271
517.6	0.96356
517.8	0.96254
518.0	0.96034
518.2	0.95596
518.4	0.95184
518.6	0.94824
518.8	0.94602
519.0	0.9454
519.2	0.94677
519.4	0.94971
519.6	0.95379
519.8	0.95794
520.0	0.96081
520.2	0.96224
520.4	0.96121
520.6	0.95883
520.8	0.95532
521.0	0.95185
521.2	0.94835
521.4	0.94653
521.6	0.94585
521.8	0.94732
522.0	0.94956
522.2	0.95298
522.4	0.9555
522.6	0.95704
522.8	0.95681
523.0	0.95586
523.2	0.9534
523.4	0.95007
523.6	0.94724
523.8	0.94491
524.0	0.94425
524.2	0.94581
524.4	0.9478
524.6	0.95013
524.8	0.95302
525.0	0.95533
525.2	0.95514
525.4	0.95467
525.6	0.95308
525.8	0.95025
526.0	0.94717
526.2	0.94512
526.4	0.94375
526.6	0.94394
526.8	0.94593
527.0	0.94916
527.2	0.95316
527.4	0.95615
527.6	0.95741
527.8	0.9585
528.0	0.9582
528.2	0.95526
528.4	0.95214
528.6	0.9485
528.8	0.94595
529.0	0.94422
529.2	0.94409
529.4	0.94498
529.6	0.94748
529.8	0.95023
530.0	0.95342
530.2	0.95576
530.4	0.95707
530.6	0.95697
530.8	0.95612
531.0	0.95399
531.2	0.95159
531.4	0.94951
531.6	0.94808
531.8	0.94834
532.0	0.94966
532.2	0.95132
532.4	0.95426
532.6	0.9564
532.8	0.95838
533.0	0.95824
533.2	0.95759
533.4	0.95535
533.6	0.95288
533.8	0.95006
534.0	0.94833
534.2	0.94709
534.4	0.94745
534.6	0.94882
534.8	0.95191
535.0	0.95402
535.2	0.95651
535.4	0.95856
535.6	0.95999
535.8	0.95917
536.0	0.95766
536.2	0.95511
536.4	0.9526
536.6	0.95007
536.8	0.94844
537.0	0.9481
537.2	0.94842
537.4	0.95003
537.6	0.95225
537.8	0.95441
538.0	0.95652
538.2	0.95755
538.4	0.9579
538.6	0.95645
538.8	0.95461
539.0	0.9519
539.2	0.94947
539.4	0.94771
539.6	0.94664
539.8	0.94723
540.0	0.94779
540.2	0.95057
540.4	0.95295
540.6	0.95483
540.8	0.95637
541.0	0.95697
541.2	0.95664
541.4	0.95496
541.6	0.95282
541.8	0.95069
542.0	0.94982
542.2	0.94826
542.4	0.94884
542.6	0.95018
542.8	0.95155
543.0	0.95546
543.2	0.95833
543.4	0.95863
543.6	0.95826
543.8	0.95632
544.0	0.95386
544.2	0.95068
544.4	0.94839
544.6	0.94631
544.8	0.9455
545.0	0.94581
545.2	0.94684
545.4	0.94831
545.6	0.95081
545.8	0.95298
546.0	0.9546
546.2	0.95532
546.4	0.95498
546.6	0.95371
546.8	0.95252
547.0	0.95019
547.2	0.94914
547.4	0.94823
547.6	0.94833
547.8	0.94942
548.0	0.95153
548.2	0.95322
548.4	0.95575
548.6	0.95739
548.8	0.95863
549.0	0.95859
549.2	0.95721
549.4	0.95538
549.6	0.9526
549.8	0.95033
550.0	0.94805
550.2	0.94711
550.4	0.94719
550.6	0.94834
550.8	0.95027
551.0	0.95325
551.2	0.95644
551.4	0.95913
551.6	0.96092
551.8	0.96169
552.0	0.96101
552.2	0.95953
552.4	0.95705
552.6	0.95414
552.8	0.9517
553.0	0.94976
553.2	0.94877
553.4	0.94918
553.6	0.95002
553.8	0.95225
554.0	0.95428
554.2	0.95665
