Typical Measured Spectrum of Semrock NF01-532U Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
484.6	0.94505
484.8	0.95979
485	0.9726
485.2	0.98062
485.4	0.98075
485.6	0.9715
485.8	0.95744
486	0.94371
486.2	0.93441
486.4	0.93236
486.6	0.93608
486.8	0.94688
487	0.96023
487.2	0.97119
487.4	0.97737
487.6	0.97595
487.8	0.96865
488	0.95745
488.2	0.94671
488.4	0.94012
488.6	0.94056
488.8	0.94648
489	0.95632
489.2	0.96772
489.4	0.97587
489.6	0.97797
489.8	0.97269
490	0.96258
490.2	0.94966
490.4	0.93918
490.6	0.93526
490.8	0.93627
491	0.94285
491.2	0.9541
491.4	0.96514
491.6	0.97354
491.8	0.97618
492	0.97244
492.2	0.96445
492.4	0.95462
492.6	0.94684
492.8	0.94236
493	0.94412
493.2	0.95
493.4	0.95812
493.6	0.96716
493.8	0.97314
494	0.9748
494.2	0.97142
494.4	0.96496
494.6	0.95783
494.8	0.95278
495	0.95013
495.2	0.95149
495.4	0.95862
495.6	0.96551
495.8	0.97105
496	0.97456
496.2	0.97186
496.4	0.96659
496.6	0.95995
496.8	0.95191
497	0.94746
497.2	0.9468
497.4	0.9511
497.6	0.95809
497.8	0.96558
498	0.97109
498.2	0.97435
498.4	0.9731
498.6	0.96813
498.8	0.96137
499	0.95457
499.2	0.95167
499.4	0.95079
499.6	0.95395
499.8	0.95916
500	0.96567
500.2	0.97272
500.4	0.97578
500.6	0.97493
500.8	0.9717
501	0.965
501.2	0.95896
501.4	0.95621
501.6	0.95536
501.8	0.95837
502	0.96331
502.2	0.96773
502.4	0.97183
502.6	0.97258
502.8	0.96989
503	0.96526
503.2	0.95875
503.4	0.95357
503.6	0.95101
503.8	0.95207
504	0.95659
504.2	0.96269
504.4	0.9695
504.6	0.9736
504.8	0.97563
505	0.97362
505.2	0.9679
505.4	0.9634
505.6	0.9579
505.8	0.95511
506	0.9549
506.2	0.95862
506.4	0.9637
506.6	0.96999
506.8	0.97467
507	0.97589
507.2	0.97318
507.4	0.96815
507.6	0.96206
507.8	0.95563
508	0.9523
508.2	0.95253
508.4	0.95603
508.6	0.96227
508.8	0.96826
509	0.97396
509.2	0.97626
509.4	0.97522
509.6	0.97142
509.8	0.96541
510	0.96029
510.2	0.95813
510.4	0.95834
510.6	0.96107
510.8	0.96664
511	0.97134
511.2	0.9751
511.4	0.97555
511.6	0.97248
511.8	0.96667
512	0.95964
512.2	0.95373
512.4	0.95083
512.6	0.95221
512.8	0.95796
513	0.9666
513.2	0.9756
513.4	0.98309
513.6	0.98512
513.8	0.98415
514	0.97788
514.2	0.97046
514.4	0.96302
514.6	0.95829
514.8	0.9573
515	0.96001
515.2	0.96443
515.4	0.96923
515.6	0.97123
515.8	0.97061
516	0.96537
516.2	0.95867
516.4	0.9526
516.6	0.94967
516.8	0.95194
517	0.95874
517.2	0.96952
517.4	0.97933
517.6	0.98588
517.8	0.98551
518	0.97921
518.2	0.9674
518.4	0.9528
518.6	0.94216
518.8	0.93787
519	0.94164
519.2	0.95263
519.4	0.96966
519.6	0.98369
519.8	0.98783
520	0.98169
520.2	0.96742
520.4	0.95187
520.6	0.94094
520.8	0.93902
521	0.94471
521.2	0.95449
521.4	0.96086
521.6	0.95547
521.8	0.93502
522	0.90421
522.2	0.87141
522.4	0.8358
522.6	0.78863
522.8	0.70916
523	0.58513
523.2	0.4346
523.4	0.29621
523.6	0.18772
523.8	0.108
524	0.06041
524.2	0.03169
524.4	0.01595
524.6	0.008
524.8	0.00411
525	0.0022
525.2	0.00101
525.4	0.00054858
525.6	0.00030875
525.8	0.00018321
526	0.00011339
526.2	7.2872E-05
526.4	4.6577E-05
526.6	2.9903E-05
526.8	2.0474E-05
527	1.4019E-05
527.2	1.0137E-05
527.4	7.3831E-06
527.6	5.4649E-06
527.8	4.1557E-06
528	3.2251E-06
528.2	2.6014E-06
528.4	2.0983E-06
528.6	1.6965E-06
528.8	1.3724E-06
529	1.1541E-06
529.2	1.0562E-06
529.4	9.7767E-07
529.6	9.3086E-07
529.8	8.8628E-07
530	8.2119E-07
530.2	7.549E-07
530.4	6.8357E-07
530.6	5.9364E-07
530.8	5.2768E-07
531	5.0492E-07
531.2	4.8314E-07
531.4	4.8439E-07
531.6	4.9431E-07
531.8	4.9871E-07
532	4.8197E-07
532.2	4.7467E-07
532.4	5.1094E-07
532.6	5.4999E-07
532.8	5.8071E-07
533	6.0707E-07
533.2	6.3353E-07
533.4	6.5442E-07
533.6	6.8341E-07
533.8	7.5577E-07
534	8.3579E-07
534.2	9.3322E-07
534.4	1.0475E-06
534.6	1.1719E-06
534.8	1.2823E-06
535	1.4179E-06
535.2	1.7236E-06
535.4	2.0953E-06
535.6	2.606E-06
535.8	3.2939E-06
536	4.1711E-06
536.2	5.412E-06
536.4	7.0364E-06
536.6	9.6835E-06
536.8	1.3326E-05
537	1.9007E-05
537.2	2.8017E-05
537.4	4.1321E-05
537.6	6.7851E-05
537.8	0.00010878
538	0.00017218
538.2	0.00028627
538.4	0.00050103
538.6	0.00090061
538.8	0.0017
539	0.00332
539.2	0.00602
539.4	0.0119
539.6	0.02318
539.8	0.04255
540	0.07285
540.2	0.11725
540.4	0.18475
540.6	0.28625
540.8	0.44657
541	0.64928
541.2	0.81426
541.4	0.88168
541.6	0.87221
541.8	0.8506
542	0.85174
542.2	0.8771
542.4	0.91851
542.6	0.9561
542.8	0.97803
543	0.97518
543.2	0.95452
543.4	0.9289
543.6	0.91086
543.8	0.90391
544	0.91084
544.2	0.92706
544.4	0.94681
544.6	0.96364
544.8	0.97238
545	0.96894
545.2	0.95785
545.4	0.94319
545.6	0.93057
545.8	0.92354
546	0.92451
546.2	0.93182
546.4	0.94413
546.6	0.95914
546.8	0.97325
547	0.98282
547.2	0.98526
547.4	0.98231
547.6	0.97548
547.8	0.9678
548	0.96177
548.2	0.95902
548.4	0.95894
548.6	0.96371
548.8	0.96887
549	0.97384
549.2	0.97659
549.4	0.97505
549.6	0.97012
549.8	0.96168
550	0.95271
550.2	0.94533
550.4	0.9405
550.6	0.93992
550.8	0.94358
551	0.95059
551.2	0.95997
551.4	0.96971
551.6	0.97744
551.8	0.98184
552	0.98304
552.2	0.97968
552.4	0.97334
552.6	0.96691
552.8	0.96038
553	0.95682
553.2	0.95571
553.4	0.95867
553.6	0.9643
553.8	0.9709
554	0.97843
554.2	0.98397
554.4	0.98637
554.6	0.98531
554.8	0.98101
555	0.97505
555.2	0.96772
555.4	0.96119
555.6	0.95703
555.8	0.95574
556	0.9576
556.2	0.96339
556.4	0.97038
556.6	0.97759
556.8	0.98301
557	0.98587
557.2	0.98507
557.4	0.98095
557.6	0.97467
557.8	0.96677
558	0.95823
558.2	0.95148
558.4	0.94827
558.6	0.9476
558.8	0.95096
559	0.9571
559.2	0.96493
559.4	0.97268
559.6	0.97933
559.8	0.98398
560	0.98486
560.2	0.98298
560.4	0.97911
560.6	0.9733
560.8	0.96758
561	0.96269
561.2	0.96065
561.4	0.96142
561.6	0.96365
561.8	0.96879
562	0.9747
562.2	0.97994
562.4	0.98455
562.6	0.9862
562.8	0.98403
563	0.98041
563.2	0.97383
563.4	0.96668
563.6	0.9593
563.8	0.95447
564	0.95228
564.2	0.95281
564.4	0.95586
564.6	0.96149
564.8	0.96846
565	0.97544
565.2	0.98141
565.4	0.98457
565.6	0.98446
565.8	0.9814
566	0.97579
566.2	0.96774
566.4	0.95889
566.6	0.95162
566.8	0.94594
567	0.94349
567.2	0.94393
567.4	0.94831
567.6	0.95357
567.8	0.96145
568	0.9685
568.2	0.97393
568.4	0.97766
568.6	0.97866
568.8	0.97752
569	0.97294
569.2	0.96715
569.4	0.96152
569.6	0.9563
569.8	0.95348
570	0.95322
570.2	0.95662
570.4	0.96054
570.6	0.96593
570.8	0.97209
571	0.978
571.2	0.98136
571.4	0.98234
571.6	0.98172
571.8	0.97586
572	0.96903
572.2	0.96168
572.4	0.95432
572.6	0.94858
572.8	0.94487
573	0.94499
573.2	0.94708
573.4	0.95174
573.6	0.95878
573.8	0.96609
574	0.97303
574.2	0.97731
574.4	0.98127
574.6	0.98007
574.8	0.97523
575	0.96889
575.2	0.96178
575.4	0.95362
575.6	0.94849
575.8	0.94495
576	0.94348
576.2	0.94544
576.4	0.94975
576.6	0.95534
576.8	0.96249
577	0.96916
577.2	0.97401
577.4	0.97654
577.6	0.97618
577.8	0.97261
578	0.96648
578.2	0.96077
578.4	0.95378
578.6	0.94825
578.8	0.94396
579	0.9431
579.2	0.94516
579.4	0.94952
579.6	0.95608
579.8	0.96376
580	0.97175
580.2	0.97686
580.4	0.98046
580.6	0.98033
580.8	0.97711
581	0.97152
581.2	0.96293
581.4	0.95364
581.6	0.94536
581.8	0.93841
582	0.93462
582.2	0.93424
582.4	0.9362
582.6	0.94168
582.8	0.94893
583	0.95749
583.2	0.96539
583.4	0.97356
583.6	0.97697
583.8	0.9782
584	0.97637
584.2	0.97133
584.4	0.96523
584.6	0.95723
584.8	0.94891
585	0.94262
585.2	0.9389
585.4	0.9381
585.6	0.94049
585.8	0.94676
586	0.95443
586.2	0.96363
586.4	0.97142
586.6	0.97817
586.8	0.98272
587	0.98358
587.2	0.98114
587.4	0.97523
587.6	0.96801
587.8	0.95974
588	0.95174
588.2	0.94472
588.4	0.94096
588.6	0.94034
588.8	0.94223
589	0.94745
589.2	0.95496
589.4	0.96335
589.6	0.97216
589.8	0.97925
590	0.98458
590.2	0.98562
590.4	0.98257
590.6	0.97623
590.8	0.96699
591	0.95588
591.2	0.94496
591.4	0.93656
591.6	0.92821
591.8	0.92345
592	0.92206
592.2	0.92508
592.4	0.93149
592.6	0.93978
592.8	0.95188
593	0.96216
593.2	0.97195
593.4	0.97923
593.6	0.98394
593.8	0.98459
594	0.98207
594.2	0.97751
594.4	0.9697
594.6	0.96242
594.8	0.95493
595	0.94962
595.2	0.94701
595.4	0.94658
595.6	0.94934
595.8	0.95392
596	0.96074
596.2	0.96798
596.4	0.9752
596.6	0.98103
596.8	0.98449
597	0.98597
597.2	0.98332
597.4	0.97883
597.6	0.97262
597.8	0.96577
598	0.95886
598.2	0.9531
598.4	0.94929
598.6	0.94764
598.8	0.94994
599	0.95386
599.2	0.95978
599.4	0.96673
599.6	0.97363
599.8	0.97839
600	0.98323
600.2	0.98493
600.4	0.9838
600.6	0.97956
600.8	0.97386
601	0.96604
601.2	0.95673
601.4	0.94977
601.6	0.9438
601.8	0.93991
602	0.93921
602.2	0.94056
602.4	0.94552
602.6	0.95067
602.8	0.9586
603	0.96664
603.2	0.97447
603.4	0.98093
603.6	0.98462
603.8	0.98617
604	0.98284
604.2	0.98056
604.4	0.97441
604.6	0.96702
604.8	0.95974
605	0.95406
605.2	0.94993
605.4	0.94724
605.6	0.94885
605.8	0.952
606	0.9577
606.2	0.96427
606.4	0.97071
606.6	0.97766
606.8	0.98224
607	0.98598
