Typical Measured Spectrum of Semrock NF03-785E Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
563.6	0.96022
563.8	0.9606
564.0	0.96153
564.2	0.96059
564.4	0.95937
564.6	0.95779
564.8	0.95596
565.0	0.95447
565.2	0.95364
565.4	0.95367
565.6	0.95481
565.8	0.95637
566.0	0.95875
566.2	0.96171
566.4	0.96495
566.6	0.96817
566.8	0.97074
567.0	0.97161
567.2	0.97143
567.4	0.9707
567.6	0.97054
567.8	0.9692
568.0	0.96648
568.2	0.96476
568.4	0.96383
568.6	0.96337
568.8	0.96452
569.0	0.9649
569.2	0.96546
569.4	0.96635
569.6	0.96713
569.8	0.96743
570.0	0.96642
570.2	0.96452
570.4	0.96181
570.6	0.95866
570.8	0.95593
571.0	0.95302
571.2	0.95061
571.4	0.94883
571.6	0.9478
571.8	0.94845
572.0	0.94896
572.2	0.95132
572.4	0.95243
572.6	0.95415
572.8	0.95622
573.0	0.95703
573.2	0.95745
573.4	0.95691
573.6	0.95541
573.8	0.95298
574.0	0.95244
574.2	0.95163
574.4	0.95098
574.6	0.95132
574.8	0.95205
575.0	0.95416
575.2	0.95763
575.4	0.96098
575.6	0.96383
575.8	0.96637
576.0	0.96899
576.2	0.97052
576.4	0.97084
576.6	0.97092
576.8	0.97013
577.0	0.96859
577.2	0.96679
577.4	0.96599
577.6	0.96526
577.8	0.96527
578.0	0.96586
578.2	0.96645
578.4	0.9678
578.6	0.96985
578.8	0.97142
579.0	0.97225
579.2	0.97244
579.4	0.97159
579.6	0.96931
579.8	0.96777
580.0	0.96541
580.2	0.96259
580.4	0.95937
580.6	0.95673
580.8	0.95517
581.0	0.95462
581.2	0.95485
581.4	0.95494
581.6	0.95559
581.8	0.9573
582.0	0.95903
582.2	0.96053
582.4	0.96089
582.6	0.96145
582.8	0.96054
583.0	0.95991
583.2	0.959
583.4	0.95797
583.6	0.95653
583.8	0.95584
584.0	0.95583
584.2	0.95644
584.4	0.95808
584.6	0.9606
584.8	0.96244
585.0	0.96483
585.2	0.96656
585.4	0.96894
585.6	0.97027
585.8	0.97119
586.0	0.97034
586.2	0.96983
586.4	0.96832
586.6	0.96636
586.8	0.9662
587.0	0.96478
587.2	0.96346
587.4	0.96353
587.6	0.96383
587.8	0.96541
588.0	0.96746
588.2	0.96868
588.4	0.97044
588.6	0.97146
588.8	0.97199
589.0	0.9719
589.2	0.97181
589.4	0.97032
589.6	0.96801
589.8	0.96555
590.0	0.96328
590.2	0.96136
590.4	0.95991
590.6	0.95953
590.8	0.95876
591.0	0.95903
591.2	0.95994
591.4	0.96128
591.6	0.96279
591.8	0.96419
592.0	0.96569
592.2	0.96536
592.4	0.96448
592.6	0.96382
592.8	0.96271
593.0	0.96112
593.2	0.95934
593.4	0.95687
593.6	0.95536
593.8	0.95431
594.0	0.95457
594.2	0.95521
594.4	0.95639
594.6	0.95735
594.8	0.95988
595.0	0.96248
595.2	0.96462
595.4	0.96673
595.6	0.96765
595.8	0.96873
596.0	0.96808
596.2	0.96858
596.4	0.96763
596.6	0.96737
596.8	0.96616
597.0	0.96589
597.2	0.96459
597.4	0.96479
597.6	0.96552
597.8	0.96627
598.0	0.96772
598.2	0.96915
598.4	0.96956
598.6	0.97044
598.8	0.97036
599.0	0.9707
599.2	0.96979
599.4	0.96807
599.6	0.96619
599.8	0.96389
600.0	0.96146
600.2	0.96019
600.4	0.95836
600.6	0.95727
600.8	0.95641
601.0	0.95572
601.2	0.95609
601.4	0.95698
601.6	0.95782
601.8	0.95895
602.0	0.95927
602.2	0.95973
602.4	0.95909
602.6	0.95897
602.8	0.95843
603.0	0.95774
603.2	0.95611
603.4	0.955
603.6	0.95338
603.8	0.95276
604.0	0.95337
604.2	0.95423
604.4	0.95542
604.6	0.95623
604.8	0.95768
605.0	0.95926
605.2	0.96146
605.4	0.96358
605.6	0.96495
605.8	0.96559
606.0	0.96534
606.2	0.96543
606.4	0.96512
606.6	0.96477
606.8	0.96411
607.0	0.9633
607.2	0.96329
607.4	0.96305
607.6	0.96388
607.8	0.96521
608.0	0.96728
608.2	0.9703
608.4	0.97058
608.6	0.97298
608.8	0.97284
609.0	0.9737
609.2	0.97362
609.4	0.97266
609.6	0.97032
609.8	0.96834
610.0	0.96585
610.2	0.96358
610.4	0.96139
610.6	0.96014
610.8	0.95842
611.0	0.95843
611.2	0.95718
611.4	0.95875
611.6	0.95899
611.8	0.96026
612.0	0.96107
612.2	0.96134
612.4	0.962
612.6	0.96198
612.8	0.9609
613.0	0.96084
613.2	0.95864
613.4	0.95658
613.6	0.95553
613.8	0.95277
614.0	0.95143
614.2	0.95064
614.4	0.95022
614.6	0.95109
614.8	0.95154
615.0	0.95304
615.2	0.95361
615.4	0.95592
615.6	0.95829
615.8	0.96013
616.0	0.96199
616.2	0.96243
616.4	0.96283
616.6	0.9626
616.8	0.96155
617.0	0.96123
617.2	0.95921
617.4	0.95828
617.6	0.95779
617.8	0.9572
618.0	0.95614
618.2	0.95724
618.4	0.9581
618.6	0.96095
618.8	0.96268
619.0	0.96504
619.2	0.96645
619.4	0.969
619.6	0.97066
619.8	0.97144
620.0	0.97239
620.2	0.9714
620.4	0.97068
620.6	0.96937
620.8	0.96663
621.0	0.96481
621.2	0.96271
621.4	0.96166
621.6	0.96068
621.8	0.95987
622.0	0.95843
622.2	0.95887
622.4	0.95923
622.6	0.95949
622.8	0.96166
623.0	0.96211
623.2	0.9632
623.4	0.96256
623.6	0.96137
623.8	0.96148
624.0	0.96002
624.2	0.9587
624.4	0.95677
624.6	0.95468
624.8	0.9531
625.0	0.95122
625.2	0.94949
625.4	0.94828
625.6	0.94901
625.8	0.94967
626.0	0.9502
626.2	0.95216
626.4	0.95363
626.6	0.95547
626.8	0.95739
627.0	0.95935
627.2	0.96106
627.4	0.9624
627.6	0.9626
627.8	0.96188
628.0	0.96167
628.2	0.96175
628.4	0.96058
628.6	0.96083
628.8	0.95992
629.0	0.95901
629.2	0.95958
629.4	0.96004
629.6	0.96058
629.8	0.96235
630.0	0.9646
630.2	0.96675
630.4	0.96827
630.6	0.97003
630.8	0.97101
631.0	0.97235
631.2	0.97425
631.4	0.97405
631.6	0.97338
631.8	0.97241
632.0	0.97189
632.2	0.96966
632.4	0.96791
632.6	0.96666
632.8	0.96604
633.0	0.96557
633.2	0.96522
633.4	0.96514
633.6	0.96485
633.8	0.96514
634.0	0.96565
634.2	0.9662
634.4	0.96739
634.6	0.96772
634.8	0.96704
635.0	0.96579
635.2	0.96508
635.4	0.96396
635.6	0.96185
635.8	0.96023
636.0	0.95847
636.2	0.9572
636.4	0.95535
636.6	0.9535
636.8	0.95258
637.0	0.95307
637.2	0.95268
637.4	0.95334
637.6	0.95515
637.8	0.95651
638.0	0.95732
638.2	0.95798
638.4	0.95878
638.6	0.96007
638.8	0.96021
639.0	0.96109
639.2	0.96051
639.4	0.95944
639.6	0.95959
639.8	0.95789
640.0	0.95707
640.2	0.9566
640.4	0.95696
640.6	0.95651
640.8	0.95774
641.0	0.95764
641.2	0.95943
641.4	0.96235
641.6	0.96307
